-8.1999,0,0,Low
-8.3,0,0,Low
-8.3,0,0,Low
-8.5,0,0.6999,Low
-8.6999,1,0.6,Low
-8.6999,13,0.4,Low
-8.1,67,0.8,Low
-7.0999,144,1.2,Low
-5.9,186,1,Low
-4.6999,169,1.1,Low
-5,146,2.2,Low
-5,53,2.5999,Low
-4,29,1.9,Low
-2.8,3,2.2,Low
-2,0,1.6,Low
-0.6999,0,2.5,Low
0.4,0,2.8,Low
1.4,0,2.8,Low
2.5999,0,2.5,Low
2.2,0,0.8999,Low
1.3,0,0.3,Low
0.8,0,0.4,Very-low
-0.8999,0,1,Very-low
-0.6999,0,0.8,Very-low
-1.8,0,0.5,Very-low
-1.7,0,0.1,Very-low
-1.2,0,0,Very-low
1.3,0,0,Very-low
2.0999,0,0,Very-low
1.4,17,0.1,Very-low
1.5,55,1.2,Very-low
2.7,93,0.5,Very-low
3.3,104,0.1,Very-low
2.0999,197,1.3,Very-low
2.5999,141,1.1,Very-low
3.2,165,0.8999,Very-low
3.4,79,0.3,Very-low
3.2,24,0.2,Very-low
3,1,0,Very-low
2,0,0.6,Very-low
1.4,0,1.2,Very-low
1,0,1.6,Very-low
0.3,0,1.8,Very-low
-0.3,0,1.1,Very-low
-0.6999,0,0.8999,Very-low
-0.8,0,1.4,Very-low
-0.5,0,1.1,Very-low
0,0,0.4,Very-low
0,0,0,Very-low
-0.1,0,0.1,Very-low
-0.1,0,0.3,Very-low
-0.3,0,0,Very-low
-0.3,0,0.2,Very-low
-0.3,23,0.4,Very-low
0.2,124,1,Very-low
1.2,275,1.5,Very-low
1.9,347,1.7,Low
2.8,388,0.6,Low
3,371,1.1,Low
2.7,325,2.3,Low
2.5,209,1.2,Low
1.1,75,0.3,Very-low
0.4,2,0.2,Very-low
-0.6999,0,1,Very-low
-1.4,0,0.5,Very-low
-2,0,0.3,Very-low
-2.4,0,0.5,Very-low
-3,0,0.4,Low
-3.4,0,0.3,Low
-4.0999,0,0.6,Low
-4.8,0,0.3,Low
-5.3,0,0.2,Low
-6.3,0,0.3,Low
-6.9,0,0.4,Low
-7.6999,0,0.2,Low
