State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,89,7,44201,1,40.452913,-122.298866,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016583,0.031,13,29,, - ,Anderson - North Street," 2220 NORTH STREET, ANDERSON, CA 96007",California,Shasta,Anderson,"Redding, CA",8/2/16
6,55,3,44201,1,38.310942,-122.296189,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016333,0.019,10,18,, - ,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",8/4/16
6,1,11,44201,1,37.814781,-122.282347,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.014792,0.018,9,17,, - ,Oakland West,1100 21st Street,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",8/1/16
6,95,4,44201,1,38.102507,-122.237976,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016417,0.019,8,18,, - ,Vallejo,304 TUOLUMNE ST.,California,Solano,Vallejo,"Vallejo-Fairfield, CA",8/2/16
6,103,5,44201,1,40.17583,-122.23694,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016333,0.027,10,25,, - ,Red Bluff-Oak Street,"502 OAK STREET, RED BLUFF",California,Tehama,Red Bluff,"Red Bluff, CA",8/1/16
6,81,1001,44201,1,37.482934,-122.20337,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.014625,0.019,7,18,, - ,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",8/2/16
6,21,3,44201,1,39.533761,-122.191903,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015083,0.024,11,22,, - ,Willows-Colusa Street,"720 N Colusa Street, Willows",California,Glenn,Not in a city,,8/1/16
6,1,9,44201,1,37.743065,-122.169935,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.0165,0.018,7,17,, - ,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",8/1/16
53,53,1010,44201,1,46.75838,-122.12429,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.012875,0.018,9,17,, - ,"Mount Rainier National Park, Tahoma Woods","MOUNT RAINIER NP, TAHOMA WOODS ADMIN",Washington,Pierce,Not in a city,"Seattle-Tacoma-Bellevue, WA",8/5/16
6,103,4,44201,1,40.262072,-122.092766,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.024917,0.033,18,31,, - ,Tuscan Butte (seasonal),OLD FIRE LOOKOUT ATOP TUSCAN BUTTE,California,Tehama,Not in a city,"Red Bluff, CA",8/1/16
6,95,5,44201,1,38.227066,-122.075624,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.017167,0.02,8,19,, - ,Fairfield,1010 CHADBOURNE RD,California,Solano,Fairfield,"Vallejo-Fairfield, CA",8/1/16
6,85,2009,44201,1,37.318435,-122.069705,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015208,0.02,7,19,, - ,Cupertino Monta Vista,22601 Voss Ave,California,Santa Clara,Cupertino,"San Jose-Sunnyvale-Santa Clara, CA",8/1/16
53,33,10,44201,1,47.5525,-122.064722,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015,0.022,10,20,, - ,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),2000 NW SAMMAMISH RD,Washington,King,Issaquah,"Seattle-Tacoma-Bellevue, WA",8/5/16
6,1,2001,44201,1,37.654456,-122.031547,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016875,0.02,8,19,, - ,Hayward,3466 LA MESA DR.,California,Alameda,Hayward,"San Francisco-Oakland-Hayward, CA",8/5/16
6,13,2,44201,1,37.936013,-122.026154,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015417,0.019,8,18,, - ,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",8/5/16
6,11,1002,44201,1,39.202935,-122.017728,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015208,0.025,12,23,, - ,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,8/5/16
6,87,7,44201,1,36.983921,-121.989328,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.017792,0.023,10,21,, - ,Santa Cruz,960 Bostwick Lane,California,Santa Cruz,Live Oak,"Santa Cruz-Watsonville, CA",8/2/16
6,85,1001,44201,1,37.226862,-121.979675,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015708,0.022,10,20,, - ,Los Gatos,306 UNIVERSITY AVE.,California,Santa Clara,Los Gatos,"San Jose-Sunnyvale-Santa Clara, CA",8/1/16
6,95,3003,44201,1,38.358365,-121.950003,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015292,0.021,10,19,, - ,Vacaville-Ulatis Drive,"2012 ULATIS DRIVE, VACAVILLE",California,Solano,Vacaville,"Vallejo-Fairfield, CA",8/1/16
53,33,23,44201,1,47.1411,-121.9379,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015292,0.02,6,19,, - ,ENUMCLAW - MUD MTN (Army Corp of Engineers site),30525 SE MUD MOUNTAIN ROAD,Washington,King,Enumclaw,"Seattle-Tacoma-Bellevue, WA",8/4/16
6,13,2007,44201,1,37.743649,-121.934188,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016167,0.019,7,18,, - ,San Ramon,9885 Alcosta BLVD,California,Contra Costa,San Ramon,"San Francisco-Oakland-Hayward, CA",8/1/16
6,85,5,44201,1,37.348497,-121.894898,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016625,0.022,9,20,, - ,San Jose - Jackson,158B JACKSON ST,California,Santa Clara,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",8/1/16
6,7,2,44201,1,39.757371,-121.843286,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.012958,0.021,8,19,, - ,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,Not in a city,"Chico, CA",8/4/16
6,7,8,44201,1,39.761538,-121.84162,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.014833,0.022,8,20,, - ,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",8/1/16
6,101,4,44201,1,39.205572,-121.820362,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.024,0.031,22,29,, - ,Sutter Buttes (seasonal)," TOP OF SOUTH BUTTE,SUTTER BUTTES, CA",California,Sutter,Sutter,"Yuba City, CA",8/1/16
6,1,7,44201,1,37.687526,-121.784217,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016042,0.02,7,19,, - ,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",8/5/16
6,113,4,44201,1,38.53445,-121.7734,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018708,0.029,10,27,, - ,Davis-UCD Campus,"UC DAVIS-CAMPUS, CAMPBELL ROAD WEST OF HIWAY 113 & SOUTH OF HUTCHISON DRIVE.",California,Yolo,Not in a city,"Sacramento--Roseville--Arden-Arcade, CA",8/1/16
53,33,17,44201,1,47.49022,-121.77278,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.014208,0.02,10,19,, - ,NORTH BEND - NORTH BEND WAY,42404 SE NORTH BEND WAY,Washington,King,North Bend (Northbend),"Seattle-Tacoma-Bellevue, WA",8/4/16
53,53,12,44201,1,46.7841,-121.740367,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.024875,0.035,22,32,, - ,MT RAINIER - JACKSON VISITIORS CENTER,"JACKSON VISITOR'S CENTER MT RAINIER, WA",Washington,Pierce,Not in a city,"Seattle-Tacoma-Bellevue, WA",8/5/16
6,113,1003,44201,1,38.66121,-121.73269,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.019042,0.033,11,31,, - ,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",8/1/16
6,53,2,44201,1,36.495767,-121.731571,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.01825,0.022,9,20,, - ,Carmel Valley,35 Ford Road,California,Monterey,Carmel Valley Village,"Salinas, CA",8/4/16
6,13,1002,44201,1,38.006311,-121.641918,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.01725,0.026,10,24,, - ,Bethel Island,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,"San Francisco-Oakland-Hayward, CA",8/5/16
6,53,1003,44201,1,36.69676,-121.637182,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.019417,0.022,9,20,, - ,Salinas 3,867 E. LAUREL Dr,California,Monterey,Salinas,"Salinas, CA",8/4/16
6,7,7,44201,1,39.714041,-121.618836,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.022625,0.027,8,25,, - ,Paradise - Airport,4405 AIRPORT RD-PARADISE CA,California,Butte,Not in a city,"Chico, CA",8/5/16
6,101,3,44201,1,39.138773,-121.618549,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018958,0.029,11,27,, - ,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",8/1/16
6,85,2006,44201,1,37.079379,-121.600031,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.019167,0.03,10,28,, - ,San Martin,13030 MURPHY AVE.,California,Santa Clara,San Martin,"San Jose-Sunnyvale-Santa Clara, CA",8/1/16
6,89,3003,44201,1,40.53999,-121.57646,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.021458,0.03,11,28,, - ,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,Not in a city,"Redding, CA",8/2/16
6,85,2,44201,1,36.999571,-121.574684,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018417,0.03,10,28,, - ,Gilroy,9TH & PRINCEVILLE,California,Santa Clara,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",8/1/16
